date,actor1,actor2,event_code,goldstein,mentions,is_military,is_supply,is_diplomatic,url
2026-09-24,BUSAN,THE US,010,0.0,5,False,False,False,https://economictimes.indiatimes.com/news/international/global-trends/busan-agreement-explained-what-the-us-china-trade-truce-means-for-world-trade/articleshow/134456231.cms
2026-09-24,SOUTH KOREA,NORTH KOREAN,043,2.8,6,False,False,False,https://www.thestar.com.my/aseanplus/aseanplus-news/2026/09/24/two-north-korean-pows-arrive-in-south-korea-after-ukraine-transfer
2026-09-24,NORTH KOREAN,SOUTH KOREA,042,1.9,2,False,False,False,https://www.thestar.com.my/aseanplus/aseanplus-news/2026/09/24/two-north-korean-pows-arrive-in-south-korea-after-ukraine-transfer
2026-09-24,NORTH KOREAN,SOUTH KOREA,042,1.9,7,False,False,False,https://www.thestar.com.my/aseanplus/aseanplus-news/2026/09/24/two-north-korean-pows-arrive-in-south-korea-after-ukraine-transfer
2026-09-24,SOUTH KOREA,NORTH KOREAN,043,2.8,2,False,False,False,https://www.thestar.com.my/aseanplus/aseanplus-news/2026/09/24/two-north-korean-pows-arrive-in-south-korea-after-ukraine-transfer
2026-09-24,NORTH KOREAN,SOUTH KOREA,042,1.9,1,False,False,False,https://www.thestar.com.my/aseanplus/aseanplus-news/2026/09/24/two-north-korean-pows-arrive-in-south-korea-after-ukraine-transfer
2026-09-24,AMERICAN,SOUTH KOREA,042,1.9,10,False,False,True,https://lopezdoriga.com/nacional/el-presidente-surcoreano-lee-jae-myung-llega-a-mexico-para-reunirse-manana-con-sheinbaum/
2026-09-24,CHINA,SOUTH KOREA,051,3.4,2,False,False,False,https://telegrafi.com/a-do-ti-permbushe-pritshmerite-samiti-trump-xi/
2026-09-24,CHINA,SOUTH KOREA,051,3.4,4,False,False,False,https://telegrafi.com/a-do-ti-permbushe-pritshmerite-samiti-trump-xi/
2026-09-24,SOUTH KOREA,AMERICAN,043,2.8,10,False,False,True,https://lopezdoriga.com/nacional/el-presidente-surcoreano-lee-jae-myung-llega-a-mexico-para-reunirse-manana-con-sheinbaum/
2026-09-24,SOUTH KOREA,UNITED STATES,010,0.0,4,False,False,False,https://www.koreaherald.com/article/10883164
2026-09-24,UNITED STATES,SOUTH KOREA,042,1.9,4,False,False,False,https://www.koreaherald.com/article/10883164
